country_code,region_name,iata,icao,airport,latitude,longitude
US,Alabama,TOI,KTOI,Troy Municipal Airport,31.8604,-86.0121
US,Arizona,AVW,KAVQ,Marana Regional Airport,32.4096,-111.218
US,Arizona,AZA,KIWA,Phoenix-Mesa Gateway Airport,33.3078,-111.655
US,Arizona,BGT,,Bagdad Airport,34.5959,-113.17
US,Arizona,BSQ,,Bisbee Municipal Airport,31.364,-109.883
US,Arizona,BXK,KBXK,Buckeye Municipal Airport,33.4204,-112.686
US,Arizona,CFT,KCFT,Greenlee County Airport,32.9528,-109.21
US,Arizona,CGZ,KCGZ,Casa Grande Municipal Airport,32.9549,-111.767
US,Arizona,CTW,,Cottonwood Airport,34.73,-112.035
US,Arizona,CWX,,Cochise County Airport,32.2454,-109.895
US,Arizona,DGL,KDGL,Douglas Municipal Airport,31.3426,-109.506
US,Arizona,DMA,KDMA,Davis-Monthan Air Force Base,32.1665,-110.883
US,Arizona,DUG,KDUG,Bisbee Douglas International Airport,31.469,-109.604
US,Arizona,DVT,KDVT,Phoenix Deer Valley Airport,33.6883,-112.083
US,Arizona,FHU,KFHU,Sierra Vista Municipal Airport (Libby Army Airfield),31.5885,-110.344
US,Arizona,FLG,KFLG,Flagstaff Pulliam Airport,35.1385,-111.671
US,Arizona,GCN,KGCN,Grand Canyon National Park Airport,35.9524,-112.147
US,Arizona,GCW,,Grand Canyon West Airport,35.9904,-113.816
US,Arizona,GLB,,San Carlos Apache Airport,33.3531,-110.667
US,Arizona,GYR,KGYR,Phoenix Goodyear Airport,33.4225,-112.376
US,Arizona,HBK,,Holbrook Municipal Airport,34.9407,-110.138
US,Arizona,HII,KHII,Lake Havasu City Airport,34.5711,-114.358
US,Arizona,IFP,KIFP,Laughlin/Bullhead International Airport,35.1574,-114.56
US,Arizona,IGM,KIGM,Kingman Airport,35.2595,-113.938
US,Arizona,INW,KINW,Winslow-Lindbergh Regional Airport,35.0219,-110.723
US,Arizona,LGF,KLGF,Laguna Army Airfield,32.86,-114.397
US,Arizona,LUF,KLUF,Luke Air Force Base,33.535,-112.383
US,Arizona,MSC,KFFZ,Falcon Field Airport,33.4608,-111.728
US,Arizona,MVM,,Kayenta Airport,36.7164,-110.228
US,Arizona,MYH,,Marble Canyon Airport,36.8116,-111.642
US,Arizona,MZJ,KMZJ,Pinal Airpark,32.5106,-111.328
US,Arizona,OLS,KOLS,Nogales International Airport,31.4177,-110.848
US,Arizona,PGA,KPGA,Page Municipal Airport,36.9261,-111.448
US,Arizona,PGS,,Grand Canyon Caverns Airport,35.5713,-113.293
US,Arizona,PHX,KPHX,Phoenix Sky Harbor International Airport,33.4343,-112.012
US,Arizona,PJB,KPAN,Payson Airport,34.2568,-111.339
US,Arizona,PRC,KPRC,Ernest A. Love Field,34.6545,-112.42
US,Arizona,PXL,,Polacca Airport,35.7917,-110.423
US,Arizona,SAD,KSAD,Safford Regional Airport,32.8548,-109.635
US,Arizona,SCF,KSDL,Scottsdale Airport,33.6229,-111.911
US,Arizona,SDX,KSEZ,Sedona Airport,34.8486,-111.788
US,Arizona,SJN,KSJN,St. Johns Industrial Air Park,34.5186,-109.379
US,Arizona,SOW,KSOW,Show Low Regional Airport,34.2655,-110.006
US,Arizona,TBC,,Tuba City Airport,36.0928,-111.383
US,Arizona,TUS,KTUS,Tucson International Airport,32.1161,-110.941
US,Arizona,TYZ,KTYL,Taylor Airport,34.4528,-110.115
US,Arizona,VLE,,Valle Airport,35.6506,-112.148
US,Arizona,WTR,,Whiteriver Airport,33.8125,-109.987
US,Arizona,YUM,KNYL,Yuma International Airport / MCAS Yuma,32.6566,-114.606
US,Arkansas,AGO,KAGO,Magnolia Municipal Airport,33.228,-93.217
US,Arkansas,ARG,KARG,Walnut Ridge Regional Airport,36.1247,-90.9251
US,Arkansas,AWM,KAWM,West Memphis Municipal Airport,35.1351,-90.2344
US,Arkansas,BVX,KBVX,Batesville Regional Airport,35.7262,-91.6473
US,Arkansas,BYH,KBYH,Arkansas International Airport,35.9643,-89.944
US,Arkansas,CDH,KCDH,Harrell Field,33.6228,-92.7634
US,Arkansas,CKK,KCVK,Sharp County Regional Airport,36.2649,-91.5626
US,Arkansas,CRT,KCRT,Z. M. Jack Stell Field,33.1783,-91.8802
US,Arkansas,ELD,KELD,South Arkansas Regional Airport at Goodwin Field,33.221,-92.8133
US,Arkansas,FCY,KFCY,Forrest City Municipal Airport,34.942,-90.775
US,Arkansas,FLP,KFLP,Marion County Regional Airport,36.2909,-92.5903
US,Arkansas,FSM,KFSM,Fort Smith Regional Airport,35.3366,-94.3674
US,Arkansas,FYV,KFYV,Drake Field (Fayetteville Executive Airport),36.0051,-94.1701
US,Arkansas,HEE,KHEE,Thompson-Robbins Airport,34.5766,-90.6762
US,Arkansas,HKA,KHKA,Blytheville Municipal Airport,35.9404,-89.8308
US,Arkansas,HOT,KHOT,Memorial Field Airport,34.478,-93.0962
US,Arkansas,HRO,KHRO,Boone County Airport,36.2615,-93.1547
US,Arkansas,JBR,KJBR,Jonesboro Municipal Airport,35.8317,-90.6464
US,Arkansas,LIT,KLIT,Clinton National Airport (Adams Field),34.7294,-92.2243
US,Arkansas,LRF,KLRF,Little Rock Air Force Base,34.9169,-92.1497
US,Arkansas,MPJ,KMPJ,Petit Jean Park Airport,35.1389,-92.9092
US,Arkansas,MXA,KMXA,Manila Municipal Airport,35.8944,-90.1546
US,Arkansas,PBF,KPBF,Grider Field,34.1731,-91.9356
US,Arkansas,PGR,KPGR,Kirk Field,36.0629,-90.5078
US,Arkansas,ROG,KROG,Rogers Municipal Airport (Carter Field),36.3723,-94.1069
US,Arkansas,SGT,KSGT,Stuttgart Municipal Airport,34.5995,-91.575
US,Arkansas,SLG,KSLG,Smith Field,36.1919,-94.49
US,Arkansas,SPZ,KASG,Springdale Municipal Airport,36.1764,-94.1193
US,Arkansas,SRC,KSRC,Searcy Municipal Airport,35.2106,-91.7375
US,Arkansas,TXK,KTXK,Texarkana Regional Airport (Webb Field),33.4537,-93.991
US,Arkansas,WMH,KBPK,Ozark Regional Airport,36.3689,-92.4705
US,Arkansas,XNA,KXNA,Northwest Arkansas Regional Airport,36.2819,-94.3068
US,Arkansas,,KVBT,Bentonville Municipal Airport,36.3458,-94.2194
US,California,ACV,KACV,Arcata-Eureka Airport,40.9781,-124.109
US,California,AHC,KAHC,Amedee Army Airfield,40.2662,-120.153
US,California,APC,KAPC,Napa County Airport,38.2132,-122.281
US,California,APV,KAPV,Apple Valley Airport,34.5753,-117.186
US,California,AUN,KAUN,Auburn Municipal Airport,38.9548,-121.082
US,California,AVX,KAVX,Catalina Airport,33.4049,-118.416
US,California,BAB,KBAB,Beale Air Force Base,39.1361,-121.437
US,California,BFL,KBFL,Meadows Field Airport,35.4336,-119.057
US,California,BIH,KBIH,Eastern Sierra Regional Airport,37.3731,-118.364
US,California,BLH,KBLH,Blythe Airport,33.6192,-114.717
US,California,BLU,KBLU,Blue Canyon-Nyack Airport,39.275,-120.71
US,California,BNG,KBNG,Banning Municipal Airport,33.9231,-116.851
US,California,BUR,KBUR,Bob Hope Airport,34.2007,-118.359
US,California,BWC,KBWC,Brawley Municipal Airport,32.9929,-115.517
US,California,BXS,,Borrego Valley Airport,33.259,-116.321
US,California,BYS,KBYS,Bicycle Lake Army Airfield (Fort Irwin),35.2805,-116.63
US,California,BZF,,Benton Field,40.5749,-122.408
US,California,CCB,KCCB,Cable Airport,34.1116,-117.688
US,California,CCR,KCCR,Buchanan Field Airport,37.9897,-122.057
US,California,CEC,KCEC,Del Norte County Airport (Jack McNamara Field),41.7802,-124.237
US,California,CIC,KCIC,Chico Municipal Airport,39.7954,-121.858
US,California,CKE,,Lampson Field,38.9906,-122.901
US,California,CLD,KCRQ,McClellan-Palomar Airport,33.1283,-117.28
US,California,CLG,,New Coalinga Municipal Airport,36.1631,-120.294
US,California,CLR,KCLR,Cliff Hatfield Memorial Airport,33.1315,-115.521
US,California,CNO,KCNO,Chino Airport,33.9747,-117.637
US,California,COA,,Columbia Airport,38.0304,-120.415
US,California,CPM,KCPM,Compton/Woodley Airport,33.89,-118.244
US,California,CRO,KCRO,Corcoran Airport,36.1025,-119.595
US,California,CSL,,Camp San Luis Obispo Heliport,35.3261,-120.7429
US,California,CXL,KCXL,Calexico International Airport,32.6695,-115.513
US,California,DAG,KDAG,Barstow-Daggett Airport,34.8537,-116.787
US,California,DTH,,Furnace Creek Airport,36.4638,-116.881
US,California,EDW,KEDW,Edwards Air Force Base,34.9054,-117.884
US,California,EED,KEED,Needles Airport,34.7663,-114.623
US,California,EKA,KEKA,Murray Field,40.8034,-124.113
US,California,EMT,KEMT,San Gabriel Valley Airport,34.0861,-118.035
US,California,FAT,KFAT,Fresno Yosemite International Airport,36.7762,-119.718
US,California,FCH,KFCH,Fresno Chandler Executive Airport,36.7324,-119.82
US,California,FOB,,Fort Bragg Airport,39.4743,-123.796
US,California,FUL,KFUL,Fullerton Municipal Airport,33.872,-117.98
US,California,GNF,,Gansner Field,39.9439,-120.945
US,California,HAF,KHAF,Half Moon Bay Airport,37.5134,-122.501
US,California,HHR,KHHR,Hawthorne Municipal Airport (Jack Northrop Field),33.9228,-118.335
US,California,HLI,KCVH,Hollister Municipal Airport,36.8933,-121.41
US,California,HMT,KHMT,Hemet-Ryan Airport,33.734,-117.023
US,California,HWD,KHWD,Hayward Executive Airport,37.6592,-122.122
US,California,IPL,KIPL,Imperial County Airport (Boley Field),32.8342,-115.579
US,California,IYK,KIYK,Inyokern Airport,35.6588,-117.83
US,California,KIC,KKIC,Mesa Del Rey Airport,36.228,-121.122
US,California,LAX,KLAX,Los Angeles International Airport,33.9425,-118.408
US,California,LGB,KLGB,Long Beach Airport,33.8177,-118.152
US,California,LPC,KLPC,Lompoc Airport,34.6656,-120.468
US,California,LSN,KLSN,Los Banos Municipal Airport,37.0629,-120.869
US,California,LVK,KLVK,Livermore Municipal Airport,37.6934,-121.82
US,California,MAE,KMAE,Madera Municipal Airport,36.9886,-120.112
US,California,MCC,KMCC,McClellan Airfield,38.6676,-121.401
US,California,MCE,KMCE,Merced Regional Airport (MacReady Field),37.2847,-120.514
US,California,MER,KMER,Castle Airport,37.3805,-120.568
US,California,MHR,KMHR,Sacramento Mather Airport,38.5539,-121.298
US,California,MHS,,Dunsmuir Municipal-Mott Airport,41.2632,-122.272
US,California,MHV,KMHV,Mojave Air and Space Port,35.0594,-118.152
US,California,MIT,KMIT,Shafter Airport (Minter Field),35.5074,-119.192
US,California,MMH,KMMH,Mammoth Yosemite Airport,37.6241,-118.838
US,California,MOD,KMOD,Modesto City-County Airport (Harry Sham Field),37.6258,-120.954
US,California,MRY,KMRY,Monterey Regional Airport,36.587,-121.843
US,California,MYF,KMYF,Montgomery Field Airport,32.8157,-117.14
US,California,MYV,KMYV,Yuba County Airport,39.0978,-121.57
US,California,NJK,KNJK,NAF El Centro,32.8292,-115.672
US,California,NKX,KNKX,MCAS Miramar,32.8684,-117.143
US,California,NLC,KNLC,NAS Lemoore (Reeves Field),36.333,-119.952
US,California,NLN,,Kneeland Airport,40.7193,-123.928
US,California,NOT,KDVO,Marin County Airport (Gnoss Field),38.1436,-122.556
US,California,NRC,KNRC,NASA Crows Landing Airport,37.408,-121.109
US,California,NRS,KNRS,NOLF Imperial Beach (Ream Field),32.5667,-117.117
US,California,NTD,KNTD,NAS Point Mugu (Naval Base Ventura County),34.1203,-119.121
US,California,NUQ,KNUQ,Moffett Federal Airfield,37.4161,-122.049
US,California,NVN,,Nervino Airport,39.8185,-120.353
US,California,NZY,KNZY,NAS North Island (Halsey Field),32.6992,-117.215
US,California,OAK,KOAK,Oakland International Airport,37.7213,-122.221
US,California,OAR,KOAR,Marina Municipal Airport,36.6819,-121.762
US,California,OCN,KOKB,Oceanside Municipal Airport,33.2173,-117.354
US,California,ODC,,Oakdale Airport,37.7563,-120.8
US,California,ONT,KONT,Ontario International Airport,34.056,-117.601
US,California,OVE,KOVE,Oroville Municipal Airport,39.4878,-121.622
US,California,OXR,KOXR,Oxnard Airport,34.2008,-119.207
US,California,PAO,KPAO,Palo Alto Airport (Santa Clara County Airport),37.4611,-122.115
US,California,PMD,KPMD,Palmdale Regional Airport,34.6294,-118.085
US,California,POC,KPOC,Brackett Field,34.0916,-117.782
US,California,PRB,KPRB,Paso Robles Municipal Airport,35.6729,-120.627
US,California,PSP,KPSP,Palm Springs International Airport,33.8297,-116.507
US,California,PTV,KPTV,Porterville Municipal Airport,36.0296,-119.063
US,California,PVF,KPVF,Placerville Airport,38.7242,-120.753
US,California,PYS,,Paradise Skypark,39.7105,-121.6163
US,California,RAL,KRAL,Riverside Municipal Airport,33.9519,-117.445
US,California,RBF,,Big Bear City Airport,34.2638,-116.856
US,California,RBK,,French Valley Airport,33.5742,-117.128
US,California,RBL,KRBL,Red Bluff Municipal Airport,40.1507,-122.252
US,California,RDD,KRDD,Redding Municipal Airport,40.509,-122.293
US,California,RHV,KRHV,Reid-Hillview Airport of Santa Clara County,37.3329,-121.819
US,California,RIR,KRIR,Flabob Airport,33.9897,-117.411
US,California,RIV,KRIV,March Air Reserve Base,33.8807,-117.259
US,California,RMY,KMPI,Mariposa-Yosemite Airport,37.5109,-120.04
US,California,ROF,,Montague Airport (Yreka Rohrer Field),41.7304,-122.546
US,California,SAC,KSAC,Sacramento Executive Airport,38.5125,-121.493
US,California,SAN,KSAN,San Diego International Airport,32.7336,-117.19
US,California,SAS,KSAS,Salton Sea Airport,33.2414,-115.952
US,California,SBA,KSBA,Santa Barbara Municipal Airport,34.4262,-119.84
US,California,SBD,KSBD,San Bernardino International Airport,34.0954,-117.235
US,California,SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field),35.2368,-120.642
US,California,SCK,KSCK,Stockton Metropolitan Airport,37.8942,-121.238
US,California,SDM,KSDM,Brown Field Municipal Airport,32.5723,-116.98
US,California,SEE,KSEE,Gillespie Field,32.8262,-116.972
US,California,SFO,KSFO,San Francisco International Airport,37.619,-122.375
US,California,SIY,KSIY,Siskiyou County Airport,41.7781,-122.473
US,California,SJC,KSJC,San Jose International Airport,37.3626,-121.929
US,California,SMF,KSMF,Sacramento International Airport,38.6954,-121.591
US,California,SMO,KSMO,Santa Monica Municipal Airport,34.0158,-118.451
US,California,SMX,KSMX,Santa Maria Public Airport (Capt. G. Allan Hancock Field),34.8989,-120.457
US,California,SNA,KSNA,John Wayne Airport (Orange County Airport),33.6757,-117.868
US,California,SNS,KSNS,Salinas Municipal Airport,36.6628,-121.606
US,California,SPA,KSPA,Spartanburg Downtown Memorial Airport,34.9157,-81.9565
US,California,SQA,KIZA,Santa Ynez Airport,34.6068,-120.076
US,California,SQL,KSQL,San Carlos Airport,37.5119,-122.25
US,California,SRF,,San Rafael Airport (Hamilton Field),38.06,-122.51
US,California,STS,KSTS,Charles M. Schulz-Sonoma County A,38.509,-122.813
US,California,SUM,KSMS,Sumter Airport,33.995,-80.3613
US,California,SUU,KSUU,Travis Air Force Base,38.2627,-121.927
US,California,SVE,KSVE,Susanville Municipal Airport,40.3757,-120.573
US,California,SZN,KSZN,Santa Cruz Island Airport,34.0606,-119.915
US,California,SZP,KSZP,Santa Paula Airport,34.3472,-119.061
US,California,TKF,KTRK,Truckee Tahoe Airport,39.32,-120.14
US,California,TLR,KTLR,Mefford Field Airport,36.1563,-119.326
US,California,TNP,KTNP,Twentynine Palms Airport,34.1316,-115.946
US,California,TOA,KTOA,Zamperini Field,33.8034,-118.34
US,California,TRH,,Trona Airport,35.8125,-117.327
US,California,TRM,KTRM,Jacqueline Cochran Regional Airport,33.6267,-116.16
US,California,TSP,KTSP,Tehachapi Municipal Airport,35.135,-118.439
US,California,TVL,KTVL,Lake Tahoe Airport,38.8939,-119.995
US,California,UDD,KUDD,Bermuda Dunes Airport,33.7484,-116.275
US,California,UKI,KUKI,Ukiah Municipal Airport,39.126,-123.201
US,California,VBG,KVBG,Vandenberg Air Force Base,34.7373,-120.584
US,California,VCV,KVCV,Southern California Logistics Airport,34.5975,-117.383
US,California,VIS,KVIS,Visalia Municipal Airport,36.3187,-119.393
US,California,VNY,KVNY,Van Nuys Airport,34.2098,-118.49
US,California,WHP,KWHP,Whiteman Airport,34.2593,-118.413
US,California,WJF,KWJF,General William J. Fox Airfield,34.7411,-118.219
US,California,WLW,KWLW,Willows-Glenn County Airport,39.5164,-122.218
US,California,WVI,KWVI,Watsonville Municipal Airport,36.9357,-121.79
US,Colorado,AFF,KAFF,United States Air Force Academy Airfield,38.9697,-104.813
US,Colorado,AKO,KAKO,Colorado Plains Regional Airport,40.1756,-103.222
US,Colorado,ALS,KALS,San Luis Valley Regional Airport,37.4349,-105.867
US,Colorado,AMK,,Animas Air Park,37.2032,-107.869
US,Colorado,APA,KAPA,Centennial Airport,39.5701,-104.849
US,Colorado,ASE,KASE,Aspen-Pitkin County Airport (Sardy Field),39.2232,-106.869
US,Colorado,BFK,KBKF,Buckley Air Force Base,39.7017,-104.752
US,Colorado,BJC,KBJC,Rocky Mountain Metropolitan Airport,39.9088,-105.117
US,Colorado,CEZ,KCEZ,Cortez Municipal Airport,37.303,-108.628
US,Colorado,CIG,KCAG,Craig-Moffat Airport,40.4952,-107.522
US,Colorado,CNE,,Fremont County Airport,38.428,-105.106
US,Colorado,COS,KCOS,Colorado Springs Airport,38.8058,-104.701
US,Colorado,CSE,,Buckhorn Ranch Airport,38.8519,-106.928
US,Colorado,DEN,KDEN,Denver International Airport,39.8617,-104.673
US,Colorado,DRO,KDRO,Durango-La Plata County Airport,37.1515,-107.754
US,Colorado,EGE,KEGE,Eagle County Regional Airport,39.6426,-106.918
US,Colorado,FCS,KFCS,Butts Army Airfield (Fort Carson),38.6784,-104.757
US,Colorado,FNL,KFNL,Northern Colorado Regional Airport,40.4518,-105.011
US,Colorado,GJT,KGJT,Grand Junction Regional Airport (Walker Field),39.1224,-108.527
US,Colorado,GUC,KGUC,Gunnison-Crested Butte Regional Airport,38.5339,-106.933
US,Colorado,GWS,KGWS,Glenwood Springs Municipal Airport,39.5083,-107.311
US,Colorado,GXY,KGXY,Greeley-Weld County Airport,40.4374,-104.633
US,Colorado,HDN,KHDN,Yampa Valley Airport,40.4812,-107.218
US,Colorado,LAA,KLAA,Lamar Municipal Airport,38.0697,-102.688
US,Colorado,LIC,KLIC,Limon Municipal Airport,39.2748,-103.666
US,Colorado,LXV,KLXV,Lake County Airport,39.2203,-106.317
US,Colorado,MTJ,KMTJ,Montrose Regional Airport,38.5098,-107.894
US,Colorado,PGO,KPSO,Stevens Field,37.2863,-107.056
US,Colorado,PUB,KPUB,Pueblo Memorial Airport,38.2891,-104.497
US,Colorado,RIL,KRIL,Garfield County Regional Airport,39.5263,-107.727
US,Colorado,RNG,,Rangely Airport,40.0932,-108.763
US,Colorado,SBS,KSBS,Steamboat Springs Airport (Bob Adams Field),40.5163,-106.866
US,Colorado,SLT,KANK,Harriet Alexander Field,38.5383,-106.049
US,Colorado,STK,KSTK,Sterling Municipal Airport,40.6153,-103.265
US,Colorado,TAD,KTAD,Perry Stokes Airport,37.2594,-104.341
US,Colorado,TEX,KTEX,Telluride Regional Airport,37.9538,-107.908
US,Colorado,WBU,KBDU,Boulder Municipal Airport,40.0394,-105.226
US,Colorado,WPO,,North Fork Valley Airport,38.8317,-107.646
US,Connecticut,BDL,KBDL,Bradley International Airport,41.9392,-72.6833
US,Connecticut,BDR,KBDR,Igor I. Sikorsky Memorial Airport,41.1635,-73.1262
US,Connecticut,DXR,KDXR,Danbury Municipal Airport,41.3715,-73.4822
US,Connecticut,GON,KGON,Groton-New London Airport,41.3301,-72.0451
US,Connecticut,HFD,KHFD,Hartford-Brainard Airport,41.7367,-72.6494
US,Connecticut,HVN,KHVN,Tweed New Haven Airport,41.2637,-72.8868
US,Connecticut,OXC,KOXC,Waterbury-Oxford Airport,41.4786,-73.1352
US,Delaware,DOV,KDOV,Dover Air Force Base,39.1295,-75.466
US,Delaware,GED,KGED,Delaware Coastal Airport,38.6892,-75.3589
US,Delaware,ILG,KILG,Wilmington Airport (New Castle Airport),39.6787,-75.6065
US,Florida,AAF,KAAF,Apalachicola Regional Airport,29.7275,-85.0275
US,Florida,APF,KAPF,Naples Municipal Airport,26.1526,-81.7753
US,Florida,AVO,KAVO,Avon Park Executive Airport,27.5912,-81.5278
US,Florida,BCT,KBCT,Boca Raton Airport,26.3785,-80.1077
US,Florida,BOW,KBOW,Bartow Municipal Airport,27.9434,-81.7834
US,Florida,CDK,KCDK,George T. Lewis Airport,29.1342,-83.0505
US,Florida,CEW,KCEW,Bob Sikes Airport,30.7788,-86.5221
US,Florida,CLW,KCLW,Clearwater Air Park,27.9767,-82.7587
US,Florida,COF,KCOF,Patrick Air Force Base,28.2349,-80.6101
US,Florida,COI,KCOI,Merritt Island Airport,28.3416,-80.6855
US,Florida,CRG,KCRG,Jacksonville Executive at Craig Airport,30.3363,-81.5144
US,Florida,CTY,KCTY,Cross City Airport,29.6355,-83.1048
US,Florida,DAB,KDAB,Daytona Beach International Airport,29.1799,-81.0581
US,Florida,DSI,KDTS,Destin Executive Airport,30.4001,-86.4715
US,Florida,ECP,KECP,Northwest Florida Beaches International Airport,30.3571,-85.7954
US,Florida,EGI,KEGI,Duke Field (Eglin Auxiliary Field 3),30.6504,-86.5229
US,Florida,EYW,KEYW,Key West International Airport,24.5561,-81.7596
US,Florida,FLL,KFLL,Fort Lauderdale-Hollywood International Airport,26.0726,-80.1527
US,Florida,FMY,KFMY,Page Field,26.5866,-81.8633
US,Florida,FPR,KFPR,St. Lucie County International Airport,27.4951,-80.3683
US,Florida,FPY,,Perry-Foley Airport,30.0693,-83.5806
US,Florida,FXE,KFXE,Fort Lauderdale Executive Airport,26.1973,-80.1707
US,Florida,GIF,KGIF,Winter Haven's Gilbert Airport,28.0629,-81.7533
US,Florida,GNV,KGNV,Gainesville Regional Airport,29.6901,-82.2718
US,Florida,HST,KHST,Homestead Air Reserve Base,25.4886,-80.3836
US,Florida,HWO,KHWO,North Perry Airport,26.0012,-80.2407
US,Florida,IMM,KIMM,Immokalee Regional Airport,26.4332,-81.401
US,Florida,ISM,KISM,Kissimmee Gateway Airport,28.2898,-81.4371
US,Florida,JAX,KJAX,Jacksonville International Airport,30.4941,-81.6879
US,Florida,KYO,,Tampa North Aero Park,28.2213,-82.3745
US,Florida,LAL,KLAL,Lakeland Linder International Airport,27.9889,-82.0186
US,Florida,LCQ,KLCQ,Lake City Gateway Airport,30.182,-82.5769
US,Florida,LEE,KLEE,Leesburg International Airport,28.8231,-81.8087
US,Florida,LNA,KLNA,Palm Beach County Park Airport,26.593,-80.0851
US,Florida,MCF,KMCF,MacDill Air Force Base,27.8493,-82.5212
US,Florida,MCO,KMCO,Orlando International Airport,28.4294,-81.309
US,Florida,MIA,KMIA,Miami International Airport,25.7932,-80.2906
US,Florida,MLB,KMLB,Orlando Melbourne International Airport,28.1028,-80.6453
US,Florida,MPB,,Miami Seaplane Base,25.7783,-80.1703
US,Florida,MRK,KMKY,Marco Island Airport,25.995,-81.6725
US,Florida,MTH,KMTH,Florida Keys Marathon Airport,24.7261,-81.0514
US,Florida,NEN,KNEN,NOLF Whitehouse,30.3539,-81.8719
US,Florida,NIP,KNIP,NAS Jacksonville (Towers Field),30.2358,-81.6806
US,Florida,NPA,KNPA,NAS Pensacola (Forrest Sherman Field),30.3527,-87.3186
US,Florida,NQX,KNQX,NAS Key West (Boca Chica Field),24.5758,-81.6889
US,Florida,NRB,KNRB,NS Mayport (Admiral David L. McDonald Field),30.3911,-81.4247
US,Florida,NSE,KNSE,NAS Whiting Field - North,30.7242,-87.0219
US,Florida,NUN,KNUN,NOLF Saufley Field,30.4694,-87.3381
US,Florida,OBE,KOBE,Okeechobee County Airport,27.2628,-80.8498
US,Florida,OCA,,Ocean Reef Club Airport,25.3254,-80.2748
US,Florida,OCF,KOCF,Ocala International Airport (Jim Taylor Field),29.1726,-82.2242
US,Florida,OPF,KOPF,Miami-Opa Locka Executive Airport,25.907,-80.2784
US,Florida,ORL,KORL,Orlando Executive Airport,28.5455,-81.3329
US,Florida,PAM,KPAM,Tyndall Air Force Base,30.0696,-85.5754
US,Florida,PBI,KPBI,Palm Beach International Airport,26.6832,-80.0956
US,Florida,PGD,KPGD,Punta Gorda Airport,26.9202,-81.9905
US,Florida,PHK,KPHK,Palm Beach County Glades Airport,26.785,-80.6934
US,Florida,PIE,KPIE,St. Pete-Clearwater International Airport,27.9102,-82.6874
US,Florida,PNS,KPNS,Pensacola International Airport,30.4734,-87.1866
US,Florida,PPM,KPMP,Pompano Beach Airpark,26.2471,-80.1111
US,Florida,RSW,KRSW,Southwest Florida International Airport,26.5362,-81.7552
US,Florida,SEF,KSEF,Sebring Regional Airport,27.4564,-81.3424
US,Florida,SFB,KSFB,Orlando Sanford International Airport,28.7776,-81.2375
US,Florida,SPG,KSPG,Albert Whitted Airport,27.7651,-82.627
US,Florida,SRQ,KSRQ,Sarasota-Bradenton International Airport,27.3954,-82.5544
US,Florida,SUA,KSUA,Witham Field,27.1817,-80.2211
US,Florida,TIX,KTIX,Space Coast Regional Airport,28.5148,-80.7992
US,Florida,TLH,KTLH,Tallahassee International Airport,30.3965,-84.3503
US,Florida,TMB,KTMB,Miami Executive Airport,25.6479,-80.4328
US,Florida,TNT,KTNT,Dade-Collier Training and Transition Airport,25.8618,-80.897
US,Florida,TPA,KTPA,Tampa International Airport,27.9755,-82.5332
US,Florida,TPF,KTPF,Peter O. Knight Airport,27.9156,-82.4493
US,Florida,UST,KSGJ,Northeast Florida Regional Airport,29.9592,-81.3398
